time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2022-02-08T16:34:02Z,161,0,0,0,0,0,117597180,1467,114451291,0,0,0,0,0,0,288096,0,0,0,0,0,0,0,5721,70,0,221,1,6,43868,0,0,0,0,0, ,0,0,0,0,0,0,288060,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,220,308631488,-1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,218140,0,69035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:35:02Z,161,0,0,0,0,0,130175188,1467,127029299,0,0,0,0,0,0,228365,0,0,0,0,0,0,0,6318,79,0,212,1,6,38624,0,0,0,0,0, ,0,0,0,0,0,0,228340,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,175,366969336,-1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,176419,0,51239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:36:02Z,161,0,0,0,0,0,138402476,1467,135256587,0,0,0,0,0,0,183310,0,0,0,0,0,0,0,6710,81,0,205,1,6,44939,0,0,0,0,0, ,0,0,0,0,0,0,183288,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,142,450671560,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,400,0,16,0,800,0,0,0,0,0,0,0,0,0,0,148842,0,33995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:37:02Z,161,0,0,0,0,0,145242716,1467,142096827,0,0,0,0,0,0,161098,0,0,0,0,0,0,0,7039,85,0,195,1,6,34079,0,0,0,0,0, ,0,0,0,0,0,0,161057,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,142,532963752,-1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,132124,0,28507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:38:02Z,161,0,0,0,0,0,153750820,1467,150604931,0,0,0,0,0,0,175449,0,0,0,0,0,0,0,7465,93,0,187,1,6,31549,0,0,0,0,0, ,0,0,0,0,0,0,175423,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,154,581788968,-1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,140592,0,34336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:39:02Z,161,0,0,0,0,0,158209852,1467,155063963,0,0,0,0,0,0,126888,0,0,0,0,0,0,0,7681,96,0,179,1,6,27771,0,0,0,0,0, ,0,0,0,0,0,0,126853,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,119,484005128,-1,0,0,0,0,0,0,0,0,0,0,3,0,8,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,107897,0,18657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:40:02Z,161,0,0,0,0,0,161742948,1467,158597059,0,0,0,0,0,0,110168,0,0,0,0,0,0,0,7849,98,0,170,1,6,21746,0,0,0,0,0, ,0,0,0,0,0,0,110145,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,101,620135080,-1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,94959,0,14948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:41:02Z,161,0,0,0,0,0,162245708,1467,159099819,0,0,0,0,0,0,77270,0,0,0,0,0,0,0,7880,98,0,162,1,6,19898,0,0,0,0,0, ,0,0,0,0,0,0,77241,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,72,587564856,-1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,74239,0,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:42:02Z,161,0,0,0,0,0,162229364,1467,159083475,0,0,0,0,0,0,62785,0,0,0,0,0,0,0,7881,97,0,152,1,6,19314,0,0,0,0,0, ,0,0,0,0,0,0,62754,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,55,668686440,-1,0,0,0,0,0,0,0,0,0,0,2,0,9,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,61823,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:43:02Z,161,0,0,0,0,0,162234004,1467,159088115,0,0,0,0,0,0,53789,0,0,0,0,0,0,0,7884,97,0,144,1,6,21297,0,0,0,0,0, ,0,0,0,0,0,0,53762,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42,722045728,-1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,52915,0,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
